LoginID,ClientID,orderId,OrderReferenceID,TWSAPI,exchangeOrderId,variety,exchange,brokerToken,transactionType,orderType,productType,TimeInForce,price,orderQuantity,triggerPrice,orderStatus,tradedPrice,pendingQuantity,CumulativeQuantity,OrderDisclosedQuantity,orderTimestamp,exchangeTimestamp,symbol,lastUpdateTimestamp,OrderExpiryDate,message,orderTag,OrderLegStatus,BoLegDetails,IsSpread,BoEntryOrderId,MessageCode,MessageVersion,TokenID,ApplicationType,SequenceNumber,parentOrderId,filledQuantity
KB188,KB188,1100027730,,TWSAPI,1000000002846964,NORMAL,NSEFO,54047,BUY,Limit,MIS,DAY,1.55,50,0.0,Filled,1.3,0,50,0,2023-04-19 09:20:59,19-04-2023 09:21:00,NIFTY 20APR2023 CE 18150,2023-04-19 09:20:59,01-01-1980 00:00:00,,MENF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50
KB188,KB188,1100027731,,TWSAPI,1100000003517003,NORMAL,NSEFO,54006,BUY,Limit,MIS,DAY,1.65,50,0.0,Filled,1.45,0,50,0,2023-04-19 09:20:59,19-04-2023 09:21:00,NIFTY 20APR2023 PE 17150,2023-04-19 09:20:59,01-01-1980 00:00:00,,MENF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50
KB188,KB188,1100027738,,TWSAPI,1100000003517263,NORMAL,NSEFO,54006,BUY,Limit,MIS,DAY,1.65,50,0.0,Filled,1.45,0,50,0,2023-04-19 09:20:59,19-04-2023 09:21:00,NIFTY 20APR2023 PE 17150,2023-04-19 09:20:59,01-01-1980 00:00:00,,IICNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50
KB188,KB188,1100027741,,TWSAPI,1000000002847460,NORMAL,NSEFO,54047,BUY,Limit,MIS,DAY,1.55,50,0.0,Filled,1.3,0,50,0,2023-04-19 09:20:59,19-04-2023 09:21:00,NIFTY 20APR2023 CE 18150,2023-04-19 09:20:59,01-01-1980 00:00:00,,IICNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50
KB188,KB188,1100027742,,TWSAPI,1100000003517537,NORMAL,NSEFO,54006,BUY,Limit,MIS,DAY,1.65,50,0.0,Filled,1.45,0,50,0,2023-04-19 09:20:59,19-04-2023 09:21:00,NIFTY 20APR2023 PE 17150,2023-04-19 09:20:59,01-01-1980 00:00:00,,IICNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50
KB188,KB188,1100027748,,TWSAPI,1000000002847630,NORMAL,NSEFO,54047,BUY,Limit,MIS,DAY,1.55,50,0.0,Filled,1.3,0,50,0,2023-04-19 09:20:59,19-04-2023 09:21:00,NIFTY 20APR2023 CE 18150,2023-04-19 09:20:59,01-01-1980 00:00:00,,IICNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50
KB188,KB188,1100027749,,TWSAPI,1000000002847813,NORMAL,NSEFO,54047,BUY,Limit,MIS,DAY,1.55,50,0.0,Filled,1.3,0,50,0,2023-04-19 09:20:59,19-04-2023 09:21:00,NIFTY 20APR2023 CE 18150,2023-04-19 09:20:59,01-01-1980 00:00:00,,IICNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50
KB188,KB188,1100027751,,TWSAPI,1100000003518008,NORMAL,NSEFO,54006,BUY,Limit,MIS,DAY,1.65,50,0.0,Filled,1.45,0,50,0,2023-04-19 09:20:59,19-04-2023 09:21:00,NIFTY 20APR2023 PE 17150,2023-04-19 09:20:59,01-01-1980 00:00:00,,IICNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50
KB188,KB188,1100027752,,TWSAPI,1800000004243052,NORMAL,NSEFO,52765,BUY,Limit,MIS,DAY,5.5,25,0.0,Filled,4.7,0,25,0,2023-04-19 09:20:59,19-04-2023 09:21:00,BANKNIFTY 20APR2023 PE 40500,2023-04-19 09:20:59,01-01-1980 00:00:00,,DELTA,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100027753,,TWSAPI,1600000004601280,NORMAL,NSEFO,52918,BUY,Limit,MIS,DAY,5.4,25,0.0,Filled,4.65,0,25,0,2023-04-19 09:20:59,19-04-2023 09:21:01,BANKNIFTY 20APR2023 CE 43500,2023-04-19 09:20:59,01-01-1980 00:00:00,,DELTA,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
